,Total
1/29/14 14:59,149237.66
1/29/14 15:59,150618.77
1/29/14 16:59,158697.93
1/29/14 17:59,170988.3
1/29/14 18:59,181686.99
1/29/14 19:59,175151.38
1/29/14 20:59,165688.83
1/29/14 21:59,154889.92
1/29/14 22:59,147749.18
1/29/14 23:59,138141.29
1/30/14 00:59,131155.17
1/30/14 01:59,133791.19
1/30/14 02:59,131674.51
1/30/14 03:59,131118.57
1/30/14 04:59,132707.86
1/30/14 05:59,139427.4
1/30/14 06:59,151607.27
1/30/14 07:59,161917.35
1/30/14 08:59,165592.57
1/30/14 09:59,172122.88
1/30/14 10:59,174319.99
1/30/14 11:59,173082.72
1/30/14 12:59,167428.72
1/30/14 13:59,160314.89
1/30/14 14:59,156078.83
1/30/14 15:59,156126.51
1/30/14 16:59,161209.38
1/30/14 17:59,172538.78
1/30/14 18:59,181888.34
1/30/14 19:59,184222.94
1/30/14 20:59,179159.71
1/30/14 21:59,166658.05
1/30/14 22:59,154327.82
1/30/14 23:59,142828.02
1/31/14 00:59,135046.86
1/31/14 01:59,130342.52
1/31/14 02:59,129047.39
1/31/14 03:59,129348.32
1/31/14 04:59,131064.71
1/31/14 05:59,135745.95
1/31/14 06:59,145320.94
1/31/14 07:59,155471.81
1/31/14 08:59,168361.19
1/31/14 09:59,179805.95
1/31/14 10:59,184587.86
1/31/14 11:59,181956.16
1/31/14 12:59,173508.17
1/31/14 13:59,162064.54
1/31/14 14:59,152588.15
1/31/14 15:59,152296.36
1/31/14 16:59,156039.18
1/31/14 17:59,164031.1
1/31/14 18:59,178277.01
1/31/14 19:59,182400.62
1/31/14 20:59,174971.35
1/31/14 21:59,162725.14
1/31/14 22:59,149388.82
1/31/14 23:59,120860.37
2/1/14 00:59,114214.32
2/1/14 01:59,110673.41
2/1/14 02:59,109729.79
2/1/14 03:59,110881.82
2/1/14 04:59,113926.6
2/1/14 05:59,119983.2
2/1/14 06:59,132504.01
2/1/14 07:59,142359.57
2/1/14 08:59,151125.5
2/1/14 09:59,156632.03
2/1/14 10:59,157573.44
2/1/14 11:59,140043.92
2/1/14 12:59,150396.93
2/1/14 13:59,142192.86
2/1/14 14:59,138189.02
2/1/14 15:59,139047.91
2/1/14 16:59,145639.98
2/1/14 17:59,156232.95
2/1/14 18:59,167813.91
2/1/14 19:59,167260.77
2/1/14 20:59,158416.93
2/1/14 21:59,147067.2
2/1/14 22:59,135926.73
2/1/14 23:59,126303
2/2/14 00:59,120090.06
2/2/14 01:59,117256.83
2/2/14 02:59,115170.61
2/2/14 03:59,114244.03
2/2/14 04:59,117101.46
2/2/14 05:59,123809.1
2/2/14 06:59,135932.48
2/2/14 07:59,144916.44
2/2/14 08:59,148752.81
2/2/14 09:59,154366.55
2/2/14 10:59,155238.86
2/2/14 11:59,154404.12
2/2/14 12:59,154598.38
2/2/14 13:59,148963.04
2/2/14 14:59,145764.57
2/2/14 15:59,138818.13
2/2/14 16:59,144348.18
2/2/14 17:59,155554.66
2/2/14 18:59,169297.51
2/2/14 19:59,169936.53
2/2/14 20:59,161132.62
2/2/14 21:59,149147.11
2/2/14 22:59,136447.45
2/2/14 23:59,126165.27
2/3/14 00:59,119981.59
2/3/14 01:59,117036.55
2/3/14 02:59,116756.31
2/3/14 03:59,118288.65
2/3/14 04:59,120757.67
2/3/14 05:59,127421.32
2/3/14 06:59,141990.97
2/3/14 07:59,152395.58
2/3/14 08:59,155914.38
2/3/14 09:59,155249.11
2/3/14 10:59,152395.21
2/3/14 11:59,150038.91
2/3/14 12:59,141864.4
2/3/14 13:59,135641.23
2/3/14 14:59,133924.82
2/3/14 15:59,136369.11
2/3/14 16:59,143814.89
2/3/14 17:59,155808.39
2/3/14 18:59,170877.77
2/3/14 19:59,172614.08
2/3/14 20:59,163361.14
2/3/14 21:59,151178.8
2/3/14 22:59,137653.86
2/3/14 23:59,127193.34
2/4/14 00:59,121411.1
2/4/14 01:59,118330.38
2/4/14 02:59,117663.38
2/4/14 03:59,118151.27
2/4/14 04:59,119828.58
2/4/14 05:59,125819.17
2/4/14 06:59,138940.58
2/4/14 07:59,148204.47
2/4/14 08:59,151432.35
2/4/14 09:59,153584.13
2/4/14 10:59,152777.93
2/4/14 11:59,149604.93
2/4/14 12:59,141756.35
2/4/14 13:59,134577.82
2/4/14 14:59,131341.22
2/4/14 15:59,133478.59
2/4/14 16:59,140519.31
2/4/14 17:59,151437.71
2/4/14 18:59,165594.74
2/4/14 19:59,166562.24
2/4/14 20:59,158216.29
2/4/14 21:59,146147.65
2/4/14 22:59,133327.14
2/4/14 23:59,122538.64
2/5/14 00:59,115842.09
2/5/14 01:59,112414.73
2/5/14 02:59,111717.35
2/5/14 03:59,112242.04
2/5/14 04:59,113802.53
2/5/14 05:59,119891.51
2/5/14 06:59,133043.16
2/5/14 07:59,142503.5
2/5/14 08:59,145570.23
2/5/14 09:59,143241.55
2/5/14 10:59,132336.17
2/5/14 11:59,126633.41
2/5/14 12:59,122159.5
2/5/14 13:59,126999.6
2/5/14 14:59,125122.84
2/5/14 15:59,126136.22
2/5/14 16:59,132132.49
2/5/14 17:59,141364.6
2/5/14 18:59,150854.86
2/5/14 19:59,153154.35
2/5/14 20:59,148501.72
2/5/14 21:59,140113.58
2/5/14 22:59,130550.39
2/5/14 23:59,118883.38
2/6/14 00:59,111867.9
2/6/14 01:59,107574.16
2/6/14 02:59,105724.97
2/6/14 03:59,105462.65
2/6/14 04:59,106827.95
2/6/14 05:59,110647.41
2/6/14 06:59,119245.84
2/6/14 07:59,125460.6
2/6/14 08:59,128382.74
2/6/14 09:59,130466.2
2/6/14 10:59,130158.7
2/6/14 11:59,127059.82
2/6/14 12:59,121162.19
2/6/14 13:59,116763.22
2/6/14 14:59,115648.74
2/6/14 15:59,115909.89
2/6/14 16:59,118357.79
2/6/14 17:59,125894.51
2/6/14 18:59,136686.96
2/6/14 19:59,139422.47
2/6/14 20:59,133053.61
2/6/14 21:59,125568.1
2/6/14 22:59,117928.99
2/6/14 23:59,109928.6
2/7/14 00:59,103845.19
2/7/14 01:59,100564.99
2/7/14 02:59,98773.69
2/7/14 03:59,99183.27
2/7/14 04:59,99859.09
2/7/14 05:59,103043.91
2/7/14 06:59,110926.94
2/7/14 07:59,118998.07
2/7/14 08:59,128355.05
2/7/14 09:59,137780.32
2/7/14 10:59,145251.36
2/7/14 11:59,145440.4
2/7/14 12:59,134411.59
2/7/14 13:59,127878.57
2/7/14 14:59,125330.64
2/7/14 15:59,125038.88
2/7/14 16:59,129211.7
2/7/14 17:59,138880.96
2/7/14 18:59,151734.6
2/7/14 19:59,154126.55
2/7/14 20:59,147089.55
2/7/14 21:59,138507.72
2/7/14 22:59,128290.85
2/7/14 23:59,118030.11
2/8/14 00:59,110691.3
2/8/14 01:59,107340.84
2/8/14 02:59,105347.65
2/8/14 03:59,105311.78
2/8/14 04:59,106455.83
2/8/14 05:59,109941.54
2/8/14 06:59,119344.75
2/8/14 07:59,128111.18
2/8/14 08:59,135401.4
2/8/14 09:59,141378.63
2/8/14 10:59,144668.71
2/8/14 11:59,145017.13
2/8/14 12:59,137803.18
2/8/14 13:59,131478.38
2/8/14 14:59,126566.46
2/8/14 15:59,125389.59
2/8/14 16:59,130485.91
2/8/14 17:59,139727.33
2/8/14 18:59,152305.6
2/8/14 19:59,154653.79
