X,Tmax,Tmin,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
3/7/14,17.71428571,7,9.272759957,8.783866855,8.358499513,7.982031521,7.64437042,7.338258039,7.058299471,8.681888954,10.76944688,12.70389828,14.40667008,15.80859947,16.85274322,17.49669053,17.71428571,16.23809524,14.76190476,13.28571429,12.28571429,11.28571429,10.28571429,9.840844198,9.39597411,8.951104022
3/8/14,19.14285714,6.142857143,8.506233934,7.99642329,7.553018367,7.160696513,6.808894099,6.49001933,6.198432456,8.227063924,10.75179514,13.0902157,15.14779781,16.84136624,18.10246058,18.88010262,19.14285714,17.95238095,16.76190476,15.57142857,14.61904762,13.66666667,12.71428571,11.81979915,10.92531258,10.03082602
3/9/14,18.42857143,6.714285714,9.13633945,8.612399335,8.156873075,7.75394027,7.392703749,7.065337432,6.766030779,8.631457525,10.89913019,12.99844362,14.84494096,16.36433633,17.49550337,18.19293445,18.42857143,17.04761905,15.66666667,14.28571429,13.23809524,12.19047619,11.14285714,10.30614606,9.469434981,8.6327239
3/10/14,17.42857143,5,7.796012818,7.189464798,6.662312745,6.196156528,5.778333287,5.399755211,5.053678768,7.075422303,9.473565076,11.69259264,13.64365827,15.24864408,16.44328869,17.17976023,17.42857143,16.04761905,14.66666667,13.28571429,12.19047619,11.0952381,10,9.546668867,9.093337733,8.6400066
3/11/14,16.85714286,6,8.186675467,7.710962939,7.2976747,6.93231204,6.604905955,6.308306958,6.03721284,7.849015649,9.937135394,11.86837038,13.56576583,14.9616849,16.00050377,16.64082819,16.85714286,15.52380952,14.19047619,12.85714286,11.76190476,10.66666667,9.571428571,9.164451615,8.757474659,8.350497703
3/12/14,18.71428571,5.714285714,7.943520747,7.457162512,7.034784511,6.661493864,6.32705975,6.0241501,5.747330391,7.971199347,10.46330366,12.76707478,14.79115139,16.4552641,17.69341869,18.45651332,18.71428571,17.33333333,15.95238095,14.57142857,13.9047619,13.23809524,12.57142857,12.06846238,11.56549619,11.06253001
3/13/14,15.57142857,8.857142857,10.55956382,10.18707492,9.863709391,9.578007288,9.322103227,9.090364362,8.878618022,10.04491038,11.32784026,12.51325625,13.55437217,14.41009707,15.04665707,15.43892831,15.57142857,14.33333333,13.0952381,11.85714286,11.52380952,11.19047619,10.85714286,10.68915568,10.52116851,10.35318133
3/14/14,14.28571429,8.857142857,10.18519416,9.893778523,9.640890967,9.417523328,9.217498599,9.03639624,8.870943509,9.835273982,10.86914496,11.82398435,12.66228599,13.35112132,13.86343285,14.17909694,14.28571429,13.76190476,13.23809524,12.71428571,12.42857143,12.14285714,11.85714286,11.42700683,10.9968708,10.56673477
3/15/14,15.42857143,9.142857143,10.13659875,9.917908895,9.728204976,9.560694728,9.410724883,9.274967754,9.150961114,10.29597037,11.4891636,12.59063257,13.55731752,14.35142778,14.94191917,15.30570758,15.42857143,14.76190476,14.0952381,13.42857143,12.52380952,11.61904762,10.71428571,10.24509344,9.77590117,9.306708898
3/16/14,18.85714286,7,8.837516626,8.431962329,8.080297777,7.769866712,7.49200655,7.240526895,7.010850014,9.213781832,11.4571959,13.52719347,15.34323696,16.83466942,17.94346356,18.62647942,18.85714286,17.80952381,16.76190476,15.71428571,14.66666667,13.61904762,12.57142857,11.84112991,11.11083125,10.38053259
3/17/14,22.14285714,7.428571429,9.650233924,9.158462071,8.732202606,8.356035046,8.019414637,7.714811438,7.436660389,10.22348594,12.99833852,15.55751736,17.80192535,19.64465403,21.01434887,21.85797223,22.14285714,20.80952381,19.47619048,18.14285714,16.9047619,15.66666667,14.42857143,13.66199542,12.89541942,12.12884342
3/18/14,23.85714286,8.857142857,11.36226741,10.80612256,10.32425472,9.899140918,9.518809895,9.174719296,8.860559542,11.75473675,14.5741689,17.17327565,19.45189141,21.32220184,22.71212803,23.56810438,23.85714286,22.47619048,21.0952381,19.71428571,18.28571429,16.85714286,15.42857143,14.80841263,14.18825383,13.56809504
3/19/14,22.78571429,10.42857143,12.94793624,12.38698166,11.9011383,11.4726463,11.08938393,10.74270786,10.4472302,12.85534102,15.17037108,17.30352548,19.17298532,20.70704591,21.84686708,22.54873005,22.78571429,21.35714286,19.92857143,18.5,17.19047619,15.88095238,14.57142857,14.0544807,13.53753282,13.02058494
3/20/14,21.71428571,9.928571429,12.50363707,11.92858404,11.43072786,10.99177406,10.59924787,10.24426078,9.990318748,12.28081687,14.4815196,16.50841658,18.28413238,19.74088022,20.82304974,21.48932984,21.71428571,20.23809524,18.76190476,17.28571429,16.0952381,14.9047619,13.71428571,13.25817826,12.8020708,12.34596334
3/21/14,19.57142857,9.428571429,11.88985589,11.33857983,10.86149952,10.44099166,10.06505058,9.72512835,9.519384452,11.48521878,13.37291289,15.11074576,16.6326902,17.88092149,18.80801434,19.37874481,19.57142857,18.71428571,17.85714286,17,16.04761905,15.0952381,14.14285714,13.33490789,12.52695864,11.71900939
3/22/14,22.28571429,8.714285714,10.91106013,10.41756238,9.990655844,9.614487356,9.27826746,8.974319891,8.88599465,11.50913715,14.02659291,16.34316488,18.37125235,20.03416361,21.26901602,22.0291139,22.28571429,21.0952381,19.9047619,18.71428571,17.66666667,16.61904762,15.57142857,14.88439255,14.19735654,13.51032052
